90,2,1557.47,29.07,74.56,188.59,0.92,-1,-1,-1
90,3,506.10,154.69,79.54,181.85,0.83,-1,-1,-1
91,1,457.76,159.52,77.13,185.93,0.84,-1,-1,-1
91,2,1557.81,29.35,73.81,188.33,0.92,-1,-1,-1
91,3,504.36,154.52,80.40,182.74,0.83,-1,-1,-1
92,1,455.68,160.62,76.88,184.88,0.89,-1,-1,-1
92,2,1558.17,29.82,73.01,187.72,0.92,-1,-1,-1
92,3,503.31,155.69,80.66,181.74,0.88,-1,-1,-1
93,1,454.08,161.64,76.64,183.64,0.88,-1,-1,-1
93,2,1558.46,30.14,72.35,187.30,0.92,-1,-1,-1
93,3,502.80,156.57,81.02,180.92,0.90,-1,-1,-1
94,1,451.07,162.68,76.50,183.16,0.89,-1,-1,-1
94,2,1558.72,30.36,71.76,186.92,0.92,-1,-1,-1
94,3,502.02,157.96,81.01,178.88,0.91,-1,-1,-1
95,1,448.31,163.62,76.16,182.09,0.90,-1,-1,-1
95,2,1558.91,30.48,71.33,186.82,0.92,-1,-1,-1
95,3,500.25,159.03,81.76,178.01,0.90,-1,-1,-1
96,1,447.07,163.95,76.05,181.24,0.90,-1,-1,-1
96,2,1559.04,30.56,71.00,186.95,0.92,-1,-1,-1
96,3,498.29,160.31,82.44,176.36,0.89,-1,-1,-1
97,1,444.70,163.83,76.33,181.60,0.90,-1,-1,-1
97,2,1559.21,30.80,70.61,186.77,0.92,-1,-1,-1
97,3,496.42,161.11,83.65,175.42,0.90,-1,-1,-1
98,1,441.21,164.10,75.92,180.85,0.88,-1,-1,-1
98,2,1560.15,30.87,70.48,186.48,0.92,-1,-1,-1
98,3,493.86,162.40,85.20,174.98,0.89,-1,-1,-1
99,1,437.24,164.69,74.44,177.39,0.87,-1,-1,-1
99,2,1560.46,30.83,70.51,186.64,0.92,-1,-1,-1
99,3,489.85,163.42,87.46,175.40,0.89,-1,-1,-1
100,1,433.62,164.95,72.87,173.45,0.88,-1,-1,-1
100,2,1560.59,30.91,70.46,186.60,0.92,-1,-1,-1
100,3,486.83,164.00,89.64,175.80,0.89,-1,-1,-1
101,1,430.91,165.54,73.81,175.23,0.89,-1,-1,-1
101,2,1560.65,31.04,70.39,186.46,0.92,-1,-1,-1
101,3,484.89,164.64,90.81,174.18,0.90,-1,-1,-1
102,1,427.11,166.08,75.42,177.14,0.90,-1,-1,-1
102,2,1560.76,31.42,70.18,185.86,0.92,-1,-1,-1
102,3,480.79,165.30,93.13,174.04,0.88,-1,-1,-1
103,1,422.87,166.38,76.91,177.33,0.90,-1,-1,-1
103,2,1560.79,31.60,70.09,185.57,0.92,-1,-1,-1
103,3,479.05,166.08,94.97,173.45,0.90,-1,-1,-1
104,1,418.23,167.48,78.81,177.97,0.90,-1,-1,-1
104,2,1560.83,32.00,69.99,185.24,0.92,-1,-1,-1
104,3,476.21,166.57,97.00,173.24,0.90,-1,-1,-1
105,1,414.01,168.54,81.08,178.00,0.89,-1,-1,-1
105,2,1561.72,32.30,69.95,185.07,0.93,-1,-1,-1
105,3,472.53,167.51,99.07,172.85,0.90,-1,-1,-1
106,1,409.02,170.27,82.24,175.34,0.89,-1,-1,-1
106,2,1562.04,32.46,69.97,185.06,0.93,-1,-1,-1
106,3,468.60,168.96,100.14,170.93,0.87,-1,-1,-1
107,1,404.17,171.96,82.99,172.38,0.87,-1,-1,-1
107,2,1562.19,32.90,69.90,184.78,0.93,-1,-1,-1
107,3,464.46,170.49,101.51,169.89,0.88,-1,-1,-1
108,1,397.90,169.13,87.01,176.30,0.87,-1,-1,-1
108,2,1562.11,33.39,70.11,184.57,0.93,-1,-1,-1
108,3,459.48,171.47,102.74,168.85,0.84,-1,-1,-1
109,1,393.70,169.62,87.99,175.10,0.89,-1,-1,-1
109,2,1562.09,33.51,70.15,184.66,0.93,-1,-1,-1
109,3,455.78,172.37,104.32,168.38,0.82,-1,-1,-1
110,1,386.78,169.01,89.00,175.87,0.89,-1,-1,-1
110,2,1562.81,33.88,70.49,184.93,0.93,-1,-1,-1
110,3,452.80,172.33,105.15,168.34,0.85,-1,-1,-1
